average_length_of_stay_minutes,probability_ER_full,number_of_reoperations,number_of_hard_surgeries,number_of_deaths,average_queue_lengths.ER,average_queue_lengths.Preoperative,average_queue_lengths.Lab_Preoperative,average_queue_lengths.Lab_ER,average_queue_lengths.OR_Regular,average_queue_lengths.OR_Urgent,average_queue_lengths.ICU,average_queue_lengths.CCU,average_queue_lengths.General_Ward,average_waiting_times_minutes.ER,average_waiting_times_minutes.Preoperative,average_waiting_times_minutes.Lab_Preoperative,average_waiting_times_minutes.Lab_ER,average_waiting_times_minutes.OR_Regular,average_waiting_times_minutes.OR_Urgent,average_waiting_times_minutes.ICU,average_waiting_times_minutes.CCU,average_waiting_times_minutes.General_Ward,maximum_queue_lengths.ER,maximum_queue_lengths.Preoperative,maximum_queue_lengths.Lab_Preoperative,maximum_queue_lengths.Lab_ER,maximum_queue_lengths.OR_Regular,maximum_queue_lengths.OR_Urgent,maximum_queue_lengths.ICU,maximum_queue_lengths.CCU,maximum_queue_lengths.General_Ward,bed_utilization_percent.Preoperative,bed_utilization_percent.ER,bed_utilization_percent.Lab,bed_utilization_percent.OR,bed_utilization_percent.General_Ward,bed_utilization_percent.ICU,bed_utilization_percent.CCU
2017.8098471481037,0.7661357921207042,0,2,1,7.979882648784577,257.7929589270746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,10,641,0,0,0,0,0,0,0,100.0,97.09290875520186,0.8322431018096953,0.09877330018319877,3.6955350546458114,0.0007953032153879903,0.0346708802290298
1704.8185156160675,0.7798796216680998,0,2,0,8.202063628546862,250.86070507308685,0.0,0.0008598452278589854,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.163473749858724,0,0,0,0.0,0,10,625,0,1,0,0,0,0,0,98.07675782864189,99.05115364860862,0.813363617126798,0.09316013808257359,3.05108029820438,0.008462703437695935,0.05445628961696425
1260.1965523253746,0.8013082583810303,0,3,1,7.305805396565821,264.2919051512674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,10,654,0,0,0,0,0,0,0,97.9036751325842,97.93981635014649,0.815890530126819,0.11996022032221738,2.0645240724399856,0.009966763219278243,0.03008593743026119
1549.8741631779292,0.7820097244732577,0,4,0,8.13290113452188,285.5907617504052,0.0008103727714748784,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.4975155724334854,0.0,0,0,0,0.0,0,10,684,1,0,0,0,0,0,0,98.41526145261378,98.17538037330485,0.8175171717379964,0.11534730849112798,2.7182217824649504,0.008452610199578327,0.019195040230947154
1294.8793455737605,0.7795348837209303,0,0,0,7.98046511627907,236.73767441860466,0.0,0.0018604651162790699,0.0,0.0,0.0,0.0,0.0,0,0,0.0,11.467709973709674,0,0,0,0.0,0,10,593,0,1,0,0,0,0,0,98.11380595105088,98.26970973055072,0.8068822986746297,0.09625776216771285,2.220965757279008,0.0023170953044711422,0.026281758770327353
1771.1866143482416,0.7722943722943723,0,0,0,8.025974025974026,247.87186147186148,0.0,0.0008658008658008658,0.0,0.0,0.0,0.0,0.0,0,0,0.0,14.071393539207975,0,0,0,0.0,0,10,603,0,1,0,0,0,0,0,97.88679904616995,98.12724001298902,0.8054359137028445,0.08157073694853562,3.207012197513557,0.0,0.06765395346185372
1472.9684144211426,0.8034334763948497,0,3,0,8.206008583690988,267.2463519313305,0.0,0.0008583690987124463,0.0,0.0,0.0,0.007725321888412017,0.0,0,0,0.0,2.1516836498071825,0,0,0,33.34397129869083,0,10,671,0,1,0,0,0,1,0,98.3181015936985,98.65182659255764,0.8178977856339426,0.10764164323621539,2.565380180877474,0.010000183133375938,0.029224111348139518
1937.233021678287,0.7761578044596913,0,2,1,7.915094339622642,258.86020583190395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,10,638,0,0,0,0,0,0,0,100.0,94.41809729090791,0.8283415170417493,0.0931546532339527,3.534063769127608,0.0015569616039312732,0.042994647729105974
1957.1645240280627,0.7922413793103448,0,4,0,8.11896551724138,256.76206896551724,0.0,0.0,0.0,0.0,0.0,0.0008620689655172414,0.0,0,0,0.0,0.0,0,0,0,18.160135597202043,0,10,631,0,0,0,0,0,1,0,98.10798428002705,98.43299739892183,0.8184466640312162,0.1095447641528279,3.545399009245727,0.015253347419346404,0.04128835623831682
1779.113898474683,0.7658495350803043,0,1,0,7.90363482671175,262.4987320371936,0.0,0.0,0.0,0.0,0.0,0.00253592561284869,0.0,0,0,0.0,0.0,0,0,0,27.09717025542068,0,10,638,0,0,0,0,0,1,0,98.09801966539538,96.83153411453414,0.8124066829287155,0.08687904737235505,3.203992806108385,0.003979342076670962,0.07056135795003945
